DOWLKNUM,UTMX,UTMY,LON,LAT,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
1000100,494097.0582,5114741.396,-93.07649059,46.18622363,1718.51915,1628.162007,1643.525852,1641.1106810000001,1642.153063,1531.9376
1003400,483970.3014,5173669.424,-93.2097389,46.7163875,1610.660012,1714.773183,1730.953432,1735.959356,1732.643507,1618.706232
1007200,470459.1842,5164338.888,-93.38592232,46.63196075,1599.119742,1715.838168,1724.987423,1722.580517,1719.584116,1609.919697
1008900,462197.1965,5148324.396,-93.49254774,46.48742935,1529.138006,1573.119782,1588.261749,1583.663569,1583.816298,1481.27627
1009200,464357.0013,5143108.449,-93.46400876,46.44060712,1520.099149,1557.64763,1572.011521,1562.850965,1561.708297,1466.705736
1009600,464414.4068,5150836.52,-93.46385202,46.51015736,1550.136009,1610.464182,1624.559815,1622.515785,1620.365099,1515.38587
1010200,461899.8436,5165316.622,-93.49781873,46.64032757,1528.831364,1585.098841,1595.990032,1596.699907,1591.170569,1488.911148
1010400,458297.0716,5163659.077,-93.54474098,46.62519693,1604.868496,1727.236824,1737.933376,1736.237002,1735.575177,1631.397504
1010500,461988.9966,5164146.343,-93.49655756,46.62980129,1630.941744,1746.928829,1765.829683,1764.527104,1765.567043,1652.358872
1015700,440638.8309,5133864.451,-93.77158104,46.35575192,1551.044959,1551.910786,1566.456673,1567.915031,1561.256641,1456.328543
1015900,440683.782,5141227.325,-93.77193035,46.42201372,1549.935394,1603.462808,1616.409379,1618.152238,1612.487345,1507.067341
1018800,442659.2341,5166528.793,-93.74934995,46.64986541,1513.30197,1615.277599,1626.528601,1619.18712,1618.577352,1524.140024
1020400,438034.8405,5131543.537,-93.80511788,46.33463285,1555.883457,1556.520426,1575.2034,1583.457328,1575.904947,1467.413418
2000400,495368.9805,5003213.13,-93.05894518,45.18238548,1855.70541,1918.453501,1955.268781,1914.736457,1938.454202,1811.722968
2000600,494460.8242,5001105.981,-93.0704811,45.16341112,1954.509856,2030.384533,2065.920478,2037.483564,2056.580963,1923.356875
2000900,492229.7453,4999887.982,-93.0988506,45.15242605,1964.698094,2058.665843,2100.137994,2056.425041,2083.034462,1947.753848
2001600,496619.9032,5011821.59,-93.0430815,45.25988228,1834.509447,1920.213485,1958.270915,1915.228917,1939.284931,1812.975242
2002600,491522.891,5022022.941,-93.10822069,45.35166602,1904.66129,1913.475687,1949.384248,1920.167694,1935.397709,1807.859938
2004200,486945.324,5016905.783,-93.16652372,45.30553427,1777.911542,1767.778133,1807.202509,1766.52839,1780.943687,1664.379072
2005300,482559.9597,5011560.083,-93.22227451,45.25732016,1748.445862,1816.393736,1853.790371,1817.682735,1833.758471,1705.34527
2008400,473061.835,5006368.734,-93.34304572,45.21029104,1931.492857,1976.496477,2006.390959,1978.434026,1992.774255,1864.243931
2009100,473692.683,5022636.811,-93.33587526,45.35674912,1759.889125,1726.711569,1757.570993,1730.10309,1738.349413,1618.384613
3001000,327229.8412,5201583.145,-95.27024892,46.94526301,1458.690532,1496.290774,1502.757209,1520.828832,1513.626668,1394.940367
3003000,327775.1165,5215532.625,-95.26839627,47.07083444,1419.681134,1475.258357,1484.527284,1508.172926,1498.822311,1377.205546
3009600,322503.4943,5216279.375,-95.33806492,47.07615281,1373.279433,1380.047938,1379.396431,1394.739978,1384.707127,1285.113614
3010200,313777.5079,5202079.708,-95.44706092,46.94608733,1485.399369,1545.862622,1544.82499,1564.904951,1555.427028,1440.100594
3020000,298414.3905,5199244.742,-95.64747105,46.91611241,1493.11276,1581.716173,1581.581707,1601.64487,1597.926687,1475.228885
3024101,296242.9178,5197828.385,-95.67532382,46.9027179,1425.807408,1449.798845,1440.393609,1454.780352,1453.068724,1338.271582
3024102,296543.155,5201305.688,-95.6729412,46.93406772,1425.807408,1449.798845,1440.393609,1454.780352,1453.068724,1338.271582
3024200,298107.1178,5205752.9,-95.65439444,46.97452214,1387.225347,1390.981592,1386.418513,1401.009524,1392.865376,1287.642792
3036600,284116.8788,5182282.733,-95.82700329,46.7591635,1542.521486,1555.511114,1551.352368,1564.315651,1562.946109,1448.827633
3040000,280140.3082,5191411.143,-95.8833933,46.83990926,1657.804106,1655.628441,1648.329428,1660.54903,1667.402319,1544.160064
3048900,275699.0777,5181987.08,-95.9369453,46.75373175,1585.696288,1566.809429,1558.44597,1569.286019,1575.922175,1457.846766
4003200,385138.8669,5268671.869,-94.52690228,47.5612984,1497.94855,1592.543719,1608.508133,1615.936938,1611.198737,1501.524207
4003400,386027.8351,5277152.948,-94.51729355,47.63773954,1450.107411,1535.556927,1553.559815,1558.430926,1542.186963,1440.657383
4019800,355105.7154,5283645.935,-94.93089252,47.68994727,1536.657657,1573.92145,1585.123931,1605.710571,1596.361254,1473.112903
5001300,409065.841,5064907.184,-94.16873649,45.73174306,1780.433682,1878.027767,1909.019539,1886.302488,1898.602746,1776.701088
6000100,252568.7582,5009559.924,-96.15015212,45.19606714,1966.639677,1982.403775,1979.655148,1964.716053,1979.96596,1850.498823
6000200,254132.2222,5027166.37,-96.13899794,45.3548609,1926.967698,1943.586233,1945.077641,1932.655114,1942.334512,1816.895242
7004400,435926.3612,4893233.802,-93.80173666,44.18950702,2017.327256,2046.107922,2073.051925,2031.635102,2059.160403,1921.020461
7004700,430489.1567,4898142.713,-93.87041415,44.23320001,2024.1369,2031.896425,2066.392656,2013.137076,2046.674215,1904.855392
