DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
1000100,2038.5962747000897,1893.265615276842,2040.225242542818,2134.611328296702,1874.4082300465304,494097.0582,5114741.396,-93.07649059,46.18622363
1003400,2119.031557047173,1983.111051042604,2120.948958410206,2222.034908641489,1972.7267788512731,483970.3014,5173669.424,-93.2097389,46.7163875
1007200,2117.7577031904443,1975.327712541892,2118.5646463295056,2223.8972433770477,1961.63542712425,470459.1842,5164338.888,-93.38592232,46.63196075
1008900,1979.73402850117,1834.9165160383243,1982.0458482657648,2071.0322960433455,1821.2932615891896,462197.1965,5148324.396,-93.49254774,46.48742935
1009200,1954.7059972087504,1820.316562305952,1956.265769306636,2051.4242878662285,1807.70756978443,464357.0013,5143108.449,-93.46400876,46.44060712
1009600,2016.79288898315,1873.39174139507,2019.5294362333468,2112.1575210184183,1858.3798188435549,464414.4068,5150836.52,-93.46385202,46.51015736
1010200,1989.7903795687537,1847.338743251561,1992.9898723182373,2084.1287255362768,1831.4284966215896,461899.8436,5165316.622,-93.49781873,46.64032757
1010400,2135.511170811312,1992.2390725915757,2140.676909569878,2239.607862013677,1973.8081457520111,458297.0716,5163659.077,-93.54474098,46.62519693
1010500,2160.2567314609128,2015.693732776431,2160.79581035898,2265.508366782071,1999.9198532939995,461988.9966,5164146.343,-93.49655756,46.62980129
1015700,1964.831791036814,1816.0164997613583,1967.4412389482848,2051.8290770357153,1800.2379453230626,440638.8309,5133864.451,-93.77158104,46.35575192
1015900,2019.4213219763883,1869.9332561396811,2022.7679866961453,2113.125136624879,1853.3332948010843,440683.782,5141227.325,-93.77193035,46.42201372
1018800,2011.7852160087184,1877.173861445743,2016.3027220038048,2113.4853170561505,1865.1756695013376,442659.2341,5166528.793,-93.74934995,46.64986541
