DOWLKNUM,UTMX,UTMY,LON,LAT,EWMSTATUS,EWMSTATUS_corrRelFrq,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
1000100,494097.0582,5114741.396,-93.07649059,46.18622363,U,0,7.9248,377.7636297,7.171111111,1.848180386,140.74,0.089083333,14.05714286,5.3052915,4.347,42.4542,1718.51915,1628.162007,1643.525852,1641.110681,1642.153063,1531.9376
1003400,483970.3014,5173669.424,-93.2097389,46.7163875,U,0,3.3528,240.0631852,7.525,0.980410213,114.5166667,0.048166667,22.4,10.93342255,4.1736,48.7221,1610.660012,1714.773183,1730.953432,1735.959356,1732.643507,1618.706232
1007200,470459.1842,5164338.888,-93.38592232,46.63196075,U,0,4,341.4781003,7.577777778,1.137386667,96.41111111,0.0295,33.9,7.15489585,5.2905,40.8316,1599.119742,1715.838168,1724.987423,1722.580517,1719.584116,1609.919697
1008900,462197.1965,5148324.396,-93.49254774,46.48742935,U,0,35.3568,434.7211863,7.44462963,3.404597262,151.0563636,0.0164,6.802857143,3.94386225,6.5027,56.2443,1529.138006,1573.119782,1588.261749,1583.663569,1583.816298,1481.27627
1009200,464357.0013,5143108.449,-93.46400876,46.44060712,U,0,1.524,271.5376403,7.82,1.179166667,48.06,0.0235,9.72,8.592259,1.9078,5.2952,1520.099149,1557.64763,1572.011521,1562.850965,1561.708297,1466.705736
1009600,464414.4068,5150836.52,-93.46385202,46.51015736,U,0,14.3256,597.6574358,7.57625,3.044336877,181.9666667,0.051916667,10.83111111,1.4442527,2.8005,57.4326,1550.136009,1610.464182,1624.559815,1622.515785,1620.365099,1515.38587
1010200,461899.8436,5165316.622,-93.49781873,46.64032757,U,0,11.8872,348.8580759,7.755625,4.703155274,146.1393939,0.070875,5.22,1.8602385,6.1881,65.0345,1528.831364,1585.098841,1595.990032,1596.699907,1591.170569,1488.911148
1010400,458297.0716,5163659.077,-93.54474098,46.62519693,1,1,11.2776,149.2618164,7.736666667,2.225896296,212.7368421,0.020666667,7.482,3.82896325,13.1917,37.9678,1604.868496,1727.236824,1737.933376,1736.237002,1735.575177,1631.397504
1010500,461988.9966,5164146.343,-93.49655756,46.62980129,U,0,4.572,318.8279002,7.788,1.162965138,127.2,0.069533333,39.66333333,1.8853567,6.3448,52.7282,1630.941744,1746.928829,1765.829683,1764.527104,1765.567043,1652.358872
1015700,440638.8309,5133864.451,-93.77158104,46.35575192,0,0,23.7744,638.0269422,7.944444444,3.751983118,256.6,0.013428571,3.2,0.3413578,2.9,33.541,1551.044959,1551.910786,1566.456673,1567.915031,1561.256641,1456.328543
