DOWLKNUM,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,avg.ann.gdd
1000100,7.9248,377.7636297,7.171111111,1.848180386,140.74,0.089083333,14.05714286,5.3052915,4.347,42.4542,2134.611328296702
1003400,3.3528,240.0631852,7.525,0.980410213,114.5166667,0.048166667,22.4,10.93342255,4.1736,48.7221,2222.034908641489
1007200,4,341.4781003,7.577777778,1.137386667,96.41111111,0.0295,33.9,7.15489585,5.2905,40.8316,2223.8972433770477
1008900,35.3568,434.7211863,7.44462963,3.404597262,151.0563636,0.0164,6.802857143,3.94386225,6.5027,56.2443,2071.0322960433455
1009200,1.524,271.5376403,7.82,1.179166667,48.06,0.0235,9.72,8.592259,1.9078,5.2952,2051.4242878662285
1009600,14.3256,597.6574358,7.57625,3.044336877,181.9666667,0.051916667,10.83111111,1.4442527,2.8005,57.4326,2112.1575210184183
1010200,11.8872,348.8580759,7.755625,4.703155274,146.1393939,0.070875,5.22,1.8602385,6.1881,65.0345,2084.1287255362768
1010400,11.2776,149.2618164,7.736666667,2.225896296,212.7368421,0.020666667,7.482,3.82896325,13.1917,37.9678,2239.607862013677
1010500,4.572,318.8279002,7.788,1.162965138,127.2,0.069533333,39.66333333,1.8853567,6.3448,52.7282,2265.508366782071
1015700,23.7744,638.0269422,7.944444444,3.751983118,256.6,0.013428571,3.2,0.3413578,2.9,33.541,2051.8290770357153
1015900,15.5448,2005.194062,7.726222222,3.518927292,202.9666667,0.058333333,5.23,0.52636135,1.9199,57.0325,2113.125136624879
1018800,4.8768,304.3711034,7.56,1.438072917,151.26,0.041230769,15.28888889,4.3050718,2.9023,25.8874,2113.4853170561505
1020400,36.8808,736.6553297,7.925,3.542339277,289.3333333,0.0128,3,0.25282675,3.3924,34.3914,2066.681663069809
2000400,4.572,551.9256232,8.38043956,1.258507742,414.2843137,0.263583333,85.345,4.331228525,8.4441,45.8752,2519.8480446360318
2000600,5.4864,473.8586731,8.399528302,1.302719735,349.5027273,0.05486,43.96,0.2765506,7.9983,50.0948,2651.23216298325
2000900,2.7432,336.4993232,9.08,0.641458333,272.75,0.106823529,47.78571429,2.6295211,6.7708,46.8239,2672.827701504807
2001600,1.521066903,455.5937262,8.989166667,1.061052632,427.4761905,0.05273913,15.71142857,3.60912945,10.3962,40.1448,2521.797632523395
2002600,12.4968,572.1010891,8.419230769,1.073605522,237.6969697,0.063119048,24.40833333,1.58634245,4.5993,39.2435,2498.83803337662
2004200,7.9248,1481.242512,8.326521739,1.898448566,183.2619048,0.035948718,9.3732,2.32040075,4.7307,51.1229,2342.3093981176785
2005300,6.4008,154.6295017,8.3672,2.698723268,255.1818182,0.026444444,7.794444444,1.42803295,5.8335,59.2544,2413.3525981461553
2008400,7.62,114.9304084,8.28969697,2.133528421,442.5166667,0.027117647,6.494444444,1.93258605,7.5268,109.9689,2579.01440921217
2009100,9.4488,488.627662,8.142777778,2.622070253,181.40625,0.028055556,8.42,0.47929515,4.4563,54.8945,2290.4606892335682
3001000,18.8976,471.442435,7.616666667,2.717688706,308.3333333,0.055375,8.666666667,1.2801775,1.6519,45.2689,1996.3441596025348
3003000,32.9184,385.1008088,8.06,6.357539233,310.2,0.01,1.3025,0.16765825,1.3069,33.6959,1991.6348953945626
3009600,1.8288,592.4486898,9.075,1.963181818,177,0.017,4.5,0.47370865,7.0198,17.5234,1868.0255285331195
3010200,4.572,3147.320536,8.851666667,1.844375758,266.625,0.027833333,11.52,0.2495966,5.753,19.2802,2040.323895632774
3020000,5.1816,482.1227555,8.885,2.350267857,283.625,0.025111111,5.666666667,0.24427995,0.6414,16.2281,2091.3111709928453
